output	ASV	DFP.024	DFP.025	DFP.026	DFP.027	DFP.028	DFP.029	DFP.030	DFP.031	DFP.032	DFP.000	DFP.001	DFP.002	DFP.003	DFP.004	DFP.005	DFP.006	DFP.007	DFP.008	DFP.009	DFP.010	DFP.011	DFP.012	DFP.013	DFP.014	DFP.015	DFP.016	DFP.017	DFP.018	DFP.019	DFP.020	DFP.021	DFP.022	DFP.023
30	Root (97.4%); Eukaryota (97.4%); Amorphea (97.4%); Obazoa (97.4%); Opisthokonta (97.4%); Nucletmycea (97.4%); Fungi (97.4%); Dikarya (97.4%); Ascomycota (97.4%); Pezizomycotina (97.4%); Sordariomycetes (78.9%); Hypocreales (78.1%); Incertae Sedis_12 (66.7%); Sarocladium (62.9%)	ASV1027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0
31	Root (93.3%); Eukaryota (93.3%); Amorphea (93.3%); Obazoa (93.3%); Opisthokonta (93.3%); Nucletmycea (93.3%); Fungi (93.3%); Dikarya (93.3%); Ascomycota (92.5%); Pezizomycotina (89.8%); unclassified_Pezizomycotina (89.8%)	ASV1029	0	0	0	0	0	0	0	0	0	0	30	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	Root (100%); Eukaryota (100%); Amorphea (100%); Obazoa (100%); Opisthokonta (100%); Nucletmycea (100%); Fungi (100%); Dikarya (100%); Ascomycota (100%); Pezizomycotina (100%); Dothideomycetes (99%); Pleosporales (99%); unclassified_Pleosporales (99%)	ASV103	180	0	0	142	168	201	77	56	161	0	285	833	821	192	788	236	387	1079	253	759	273	0	0	0	0	0	479	127	209	64	0	0	0
33	Root (97.5%); Eukaryota (97.5%); Amorphea (97.5%); Obazoa (97.5%); Opisthokonta (97.5%); Nucletmycea (97.5%); Fungi (97.5%); Dikarya (97.5%); Ascomycota (97.5%); Pezizomycotina (97.5%); Dothideomycetes (91%); Pleosporales (90.2%); unclassified_Pleosporales (90.2%)	ASV1030	0	0	0	0	0	0	0	0	0	0	9	0	19	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	Root (97.2%); Eukaryota (97.2%); Amorphea (97.2%); Obazoa (97.2%); Opisthokonta (97.2%); Nucletmycea (97.2%); Fungi (97.2%); Dikarya (97.2%); Ascomycota (97.2%); Pezizomycotina (97.2%); Sordariomycetes (97.2%); unclassified_Sordariomycetes (97.2%)	ASV1031	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	Root (62.9%); Eukaryota (62.9%); Amorphea (62.9%); Obazoa (62.9%); Opisthokonta (62.9%); Nucletmycea (62.9%); Fungi (62.9%); Dikarya (62.9%); Ascomycota (62.5%); Pezizomycotina (62.5%); Dothideomycetes (61%); unclassified_Dothideomycetes (61%)	ASV1032	0	0	0	0	0	0	0	0	0	0	0	28	0	0	15	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	Root (87.5%); Eukaryota (87.5%); Amorphea (87.5%); Obazoa (87.5%); Opisthokonta (87.5%); Nucletmycea (87.5%); Fungi (87.5%); Dikarya (87.5%); Ascomycota (82.9%); Pezizomycotina (82.9%); unclassified_Pezizomycotina (82.9%)	ASV1033	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	Root (80.8%); Eukaryota (80.8%); Archaeplastida (79.6%); Chloroplastida (79.6%); Chlorophyta (64.7%); unclassified_Chlorophyta (64.7%)	ASV1034	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	17	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
38	Root (72.5%); Eukaryota (72.5%); Amorphea (72.1%); Obazoa (72.1%); Opisthokonta (72.1%); Holozoa (72.1%); Choanozoa (72.1%); Metazoa (72.1%); Animalia (72.1%); BCP clade (72.1%); Bilateria (72.1%); Protostomia (72.1%); Ecdysozoa (70.5%); Arthropoda (70.1%); Hexapoda (70.1%); Insecta (70.1%); Pterygota (70.1%); Neoptera (70.1%); Diptera (69.5%)	ASV1036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	Root (92.8%); Eukaryota (92.8%); SAR (90%); Alveolata (90%); Ciliophora (90%); Intramacronucleata (90%); Conthreep (90%); Colpodea (90%); Colpodida (90%); Colpoda (68.7%)	ASV1037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
